text,effective
b'RT @KathaPollitt: great piece by @speechboy71 about the hell 20-week abortion bans wreak on women and couples who get devastating news http\xe2\x80\xa6',T,T
b'RT @capleen: Everyone in Ohio should move out of the state https://t.co/UkhayZ9vyZ',T,T
b'RT @ANGRYref: Abortion Clinic Waste Basket #RejectedPantoneColors',T,T
"b""RT @anthony76730120: # NOT TRUE WITHOUT  MEN ; WOMEN CAN'T HAVE A BABY OR GET PREGNANT ! ROSIE O' DONNELL IS NOT A MAN ! MEN MUST MAN UP\xe2\x80\xa6 """,T,T
"b'A year after a domestic terrorist killed three people in a #PlannedParenthood, the case is a damn mess."" https://t.co/HvsSWZvtTH'",F,F
b'RT @Charlie4Trump: OMG!!! Can We Please Get the #View off the Air\nWhoopie and Joy have major Hate in their hearts https://t.co/tLvnMAkgW2',T,T
"b'Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News https://t.co/wb0aWgBTuY'",F,F
b'RT @speechboy71: Thanks Katha! https://t.co/as62s6aGva',T,T
b'@NBCNews Not one cent of tax payer money should go to Planned Abortion.....I mean Parenthood.',F,F
b'https://t.co/2uIWaweN8P will send you to the #Trump inauguration~ Join today!! https://t.co/usxyAJPE4d',F,F
b'RT @KathaPollitt: great piece by @speechboy71 about the hell 20-week abortion bans wreak on women and couples who get devastating news http\xe2\x80\xa6',T,T
b'https://t.co/2uIWaweN8P will send you to the #Trump inauguration~ Join today!! https://t.co/3b9KwILQBa',F,F
"b""RT @diaryofaziza: How y'all look at teenage girls when they have an abortion vs how y'all look at her if she keeps the baby https://t.co/Q0\xe2\x80\xa6""",T,T
b'RT @TheDailyShow: John Kasich makes a compromise on abortion restrictions in Ohio. @michelleisawolf reports: https://t.co/XYaWrFbfKG https:\xe2\x80\xa6',T,T
"b'Vivian Gornick recalls being a young feminist, having an abortion, and battling the paranoia of Phyllis Schlafly. https://t.co/gEGzRiHzlK'",F,F
b'RT @MiaChandlerGOP: Federal judge halts controversial Texas abortion rule https://t.co/20QlYui5Dq https://t.co/nQXDjQvWDa',T,T
b'RT @TruthFeedNews: VIDEO : Whoopi Goldberg Compares Celebrating Christmas to Getting an Abortion https://t.co/HnRTHAAT4U #trumptrain #trump\xe2\x80\xa6',T,T
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
b'RT @Shape_Magazine: Does Abortion Cause Mental Health Issues? https://t.co/itJUl092i4 https://t.co/WBgkJbqQmo',T,T
"b""RT @ACLU: New study shows abortion doesn't make women depressed\xe2\x80\x94the lack of access does https://t.co/xYytU7IRiF via @MotherJones""",T,T
b'RT @beckynashville: One way to try and keep your fake news alive. #boycott #TheView https://t.co/7BrQGfIFdx',T,T
b'@politico it be peaceful if u libs would learn what low life u r and morals and non slutty girls prevent abortion remember your mother pro-L',F,F
b'yup the left have lost it! https://t.co/gwzmxRGsNu',F,F
b'Liar Liar! https://t.co/38DeCGbgTJ',F,F
"b'RT @ESTBLSHMNT: A year after a domestic terrorist killed three people in a #PlannedParenthood, the case is a damn mess."" https://t.co/HvsSW\xe2\x80\xa6'",T,T
b'RT @Charlie4Trump: OMG!!! Can We Please Get the #View off the Air\nWhoopie and Joy have major Hate in their hearts https://t.co/tLvnMAkgW2',T,T
b'Murder! Your insides must be hollow\n\nHow does it feel to take the life of another? https://t.co/Go8eAsRQCg',F,F
"b""RT @AbortionFunds: New study: Despite states making doctors lie to their patients, abortion doesn't negatively impact mental health https:/\xe2\x80\xa6""",T,T
b'Judge Blocks Texas From Requiring Fetal Remains Be Buried https://t.co/2FCTkIK00S',F,F
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
b'RT @ruthbrarian: Developing a working theory of how the gnostic bent in American Evangelicals extends to abortion and pre-Trib rapture. Not\xe2\x80\xa6',T,T
b'RT @CauseofourJoy: Think of all we lost when 53 million Americans were never born because of abortion. How many of them were George... http\xe2\x80\xa6',T,T
"b""if it's not a health issue it's a economic issue. https://t.co/aCa2iRDNim""",F,F
"b""RT @ruthbrarian: Similarly, abortion is almost entirely un-bodily for them. It's the potential, the little soul, the idea of a baby. Confro\xe2\x80\xa6""",T,T
b'Ohio state senator behind the extreme abortion ban was investigated for domestic violence in 2011 https://t.co/OsXEGgfgNl',F,F
b'RT @NARAL: Great news! #OK Supreme Court threw out an #antichoice law designed to hinder abortion access this week: https://t.co/b9cXFafER3\xe2\x80\xa6',T,T
b'RT @mama_lune: Americans be like: death penalty is great and war is good and I deserve to have 10 guns but abortion is murder',T,T
"b""RT @ACLU: New study shows abortion doesn't make women depressed\xe2\x80\x94the lack of access does https://t.co/xYytU7IRiF via @MotherJones""",T,T
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
b'But abortion is legal \xf0\x9f\x98\x94 https://t.co/3lcW5gbVKc',F,F
b'RT @DineshDSouza: OUR PRIORITIES AND THEIRS: @WhoopiGoldberg equates the right to celebrate Christmas with the right to abortion https://t.\xe2\x80\xa6',T,T
"b'RT @WholeWomans: Not surprisingly, the lawmakers did not like being asked about their personal sex lives. https://t.co/Caf9nJUM6s'",T,T
b'RT @knowladgeispwr: https://t.co/9HtQPGLhWY',T,T
b'Whoopi Goldberg under fire for saying right to celebrate Christmas is like right to abortion |  https://t.co/UI8gOc1J1P',F,F
b'RT @CommentDropping: @Cernovich This may be 1 of many reasons why Dems back abortion because under their leadership women are more vulnerab\xe2\x80\xa6',T,T
b'RT @VivaLaAmes: Video: IDIOT Whoopi compares celebrating Christmas to getting an abortion. Why is compost-heap @TheView still on TV?\nhttps:\xe2\x80\xa6',T,T
b'RT @VivaLaAmes: Video: IDIOT Whoopi compares celebrating Christmas to getting an abortion. Why is compost-heap @TheView still on TV?\nhttps:\xe2\x80\xa6',T,T
"b'RT @CREDOMobile: Update: Gov. @JohnKasich vetoes extreme abortion ban, signs 20-week ban. TY to our members in Ohio who took action.\xe2\x80\xa6 '",T,T
b'lucy ans abortion https://t.co/D4U5Z7pnH9',F,F
"b""Why do i feel like throwing up everytime i see that face. I'd rather be gay if all women looked like that \xf0\x9f\x91\x87\xf0\x9f\x91\x87, Jeez!! https://t.co/xzfVCRyGgc""",F,F
b'RT @Cherydaan: abortion. is. okay. #prochoice',T,T
"b""RT @Rewire_News: Getting an abortion in Texas? Take the state's required package of misinformation with a huge grain of salt.\xe2\x80\xa6 """,T,T
b'RT @Trump_Ameri16: VIDEO : Whoopi Goldberg Compares Celebrating Christmas to Getting an Abortion https://t.co/g4YaNgArvc https://t.co/zEdtQ\xe2\x80\xa6',T,T
"b'friendly reminder that in Christianity sex with a woman on top is a mortal sin, whereas abortion is merely a venial one !!!'",F,F
b'RT @KathaPollitt: great piece by @speechboy71 about the hell 20-week abortion bans wreak on women and couples who get devastating news http\xe2\x80\xa6',T,T
b'RT @ANGRYref: Abortion Clinic Waste Basket #RejectedPantoneColors',T,T
"b""RT @YahooNews: Being denied an abortion is more harmful to a woman's mental health than actually having one, new study says\xe2\x80\xa6 """,T,T
"b""This is a human fetus at 12 weeks, look at its face and tiny arms. still think abortion isn't murder ? https://t.co/FcPb37LPlV""",F,F
"b'@DeaceOnline @MarianCantwellF\nChkOut Obama\'s fav Xmas recipes!\n""ProLifeDem"" Priorities:\n1-98.Left Agenda\n99.Pretend\xe2\x80\xa6 https://t.co/qdVhEwr0jJ'",F,F
b'Pro-Abortion Researchers Falsely Claim Aborting Their Baby Has No Mental Health Impact on Women https://t.co/IcEIlYGO2W',F,F
b'RT @DineshDSouza: OUR PRIORITIES AND THEIRS: @WhoopiGoldberg equates the right to celebrate Christmas with the right to abortion https://t.\xe2\x80\xa6',T,T
b'Anonymous Patriots #OpEndAbortion Stop Abortion Defend Life! https://t.co/x5LxMQWgXe via @YouTube',F,F
b'@TylerPreston20 abortion should be mandatory',F,F
b'Shouldnt she be in Canada by now??? https://t.co/NuFUFS63X8',F,F
b'RT @DineshDSouza: OUR PRIORITIES AND THEIRS: @WhoopiGoldberg equates the right to celebrate Christmas with the right to abortion https://t.\xe2\x80\xa6',T,T
"b'Those who are conceived in ape are still human. Punish the rapist, not the child. #AllLivesMatter #prolife https://t.co/QkEDOeUDmn'",F,F
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
b'@peddoc63 @becca_washburn When Bill Clinton was president he had a clause put in the bill of partial birth abortion for the health of mother',F,F
"b""The Horrifying And Heartbreaking Impact Of Ohio's 20-Week Abortion Ban https://t.co/f1bGCyJ3X9 Seahawks Craig Sager #TotalNonstopDeletion""",F,F
"b""I'm rt'ing this again because I was looking through my favorites bc I needed a laugh and this did it https://t.co/5f0rtOUAoe""",F,F
b'Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned ... https://t.co/9OGw8ofTUa CFP News and Videos',F,F
b'RT @erintothemax: My patience for Republican men  who want to quietly pass abortion restrictions that punish women is pretty damn low. \n\nOw\xe2\x80\xa6',T,T
b'https://t.co/2uIWaweN8P will send you to the #Trump inauguration~ Join today!! https://t.co/6oK8v78xZ9',F,F
b'https://t.co/2uIWaweN8P will send you to the #Trump inauguration~ Join today!! https://t.co/epGhrhMrPV',F,F
b'Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned Parenthood https://t.co/HDoea0mGl8',F,F
b'These laws are designed with one intent in mind: to block a woman who has decided to have an abortion from actually\xe2\x80\xa6 \xe2\x80\xa6',F,F
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
"b'RT @LiveAction: Feminist Alice Paul, who fought for women\'s suffrage, recognized abortion as ""the ultimate exploitation of women."" https://\xe2\x80\xa6'",T,T
"b""RT @YahooNews: Being denied an abortion is more harmful to a woman's mental health than actually having one, new study says\xe2\x80\xa6 """,T,T
b'@5740adams lol u retweet shit abt god and Jesus and blah blah. Only ppl who use religion as a selfish weapon are vehemently against abortion',F,F
b'RT @TheDailyShow: John Kasich makes a compromise on abortion restrictions in Ohio. @michelleisawolf reports: https://t.co/XYaWrFbfKG https:\xe2\x80\xa6',T,T
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
b'RT @ALLlifedefender: \xe2\x80\x9cAbortion should be listed as a weapon of mass destruction against the voiceless.\xe2\x80\x9d ~E.A. Bucchianeri #ThursdayThoughts',T,T
"b""RT @AbortionFunds: Don't let #Ohio heartbeat veto distract you: cutting off abortion to those who need it is never a moderate action. https\xe2\x80\xa6""",T,T
"b""@endhomelesnes my body is mine. What I do with it is always within my rights; whether it's abortion, give birth, or refuse med treatment.""",F,F
b'Whoopi compares Christmas to Abortion and gets wrecked on the Internet  https://t.co/L6YjViWiqe',F,F
"b""Please, Somebody give Whoopy an antidote for what she's smoking @home.?\nhttps://t.co/otnf7CQHjS""",F,F
b'The Left Is Losing Their Minds Over A 20-Week Abortion Ban -- Here Is What A Baby Looks Like at 20 Weeks https://t.co/wvRIofjpDC',F,F
b'VID: Whoopi Compares Celebrating Christmas 2 Getting Abortion https://t.co/Zem634POlA',F,F
b'VIDEO : Whoopi Goldberg Compares Celebrating Christmas to Getting an Abortion \xe2\x80\x93 TruthFeed https://t.co/C5uoRD7sfQ',F,F
"b""@FelixMcCormick @psychopigeons @BreadmanPat @ASwoyer well we don't give a shit about what they think on abortion. We know it's murder""",F,F
b'RT @DineshDSouza: OUR PRIORITIES AND THEIRS: @WhoopiGoldberg equates the right to celebrate Christmas with the right to abortion https://t.\xe2\x80\xa6',T,T
"b'RT @StevenErtelt: Abortion Increases Risk of Women\xe2\x80\x99s Mental Health Problems, Most Studies Find https://t.co/lo5X9JcxKe https://t.co/DaYgWRn\xe2\x80\xa6'",T,T
"b""Oklahoma's bizarre anti-abortion bathroom sign policy is going to cost small business $2.3 Million. https://t.co/t8SuANKp9Q""",F,F
b'The radical left tried to censor the Civil Rights movement. They failed then and they will fail now. #prolifegen https://t.co/l7mMCSECgV',F,F
b'Seriously... https://t.co/Nt4PYwZbig',F,F
b'RT @LifeNewsHQ: Pro-Life People Across America Will Gather on December 17 to Sing Christmas Carols at Abortion Clinics\xe2\x80\xa6 ',T,T
b'RT @KathleenClyde: Two abortion bans in one week in the Ohio House! Both unconstitutional. Both dangerous for women. #StopTheBans #TrustWom\xe2\x80\xa6',T,T
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
"b'@peddoc63  health clause for the mental health of mother because for partial birth abortion to occur, normal uncomplicated birth must occur'",F,F
b'@BackwoodsJim @wolfeblog Still waiting on you to send me the link on the 9 month abortion law in Texas!!!',F,F
b'The Left is really trying hard to start a civil war. https://t.co/0FVK6DBMti',F,F
"b""@AceofSpadesHQ If G. Stephanopoulos and his wife have calmed their 14 yr old down from her abortion hysteria I'd like to hear his Hot Take.""",F,F
b'#yahooanswers Question: What are some safe and effective abortion pills? https://t.co/mSODKzuXzP #Pregnancy #Parent',F,F
b'Matt Walsh: Abortion does not preserve a woman\xe2\x80\x99s life \xe2\x80\x94 it preserves her lifestyle \nhttps://t.co/Pzal6QcUCr via @MattWalshBlog @theblaze',F,F
b'RT @philadper2014: Whoopi Goldberg under fire for saying right to celebrate Christmas is like right to abortion. Fucking idiot! https://t.c\xe2\x80\xa6',T,T
b'RT @VivaLaAmes: Video: IDIOT Whoopi compares celebrating Christmas to getting an abortion. Why is compost-heap @TheView still on TV?\nhttps:\xe2\x80\xa6',T,T
b'RT @hollyroller52: @DineshDSouza @WhoopiGoldberg @FoxNews too bad @WhoopiGoldberg (good thing her mom was not for abortion.) Well good 4 he\xe2\x80\xa6',T,T
"b'RT @ESTBLSHMNT: A year after a domestic terrorist killed three people in a #PlannedParenthood, the case is a damn mess."" https://t.co/HvsSW\xe2\x80\xa6'",T,T
b'RT @Charlie4Trump: OMG!!! Can We Please Get the #View off the Air\nWhoopie and Joy have major Hate in their hearts https://t.co/tLvnMAkgW2',T,T
"b'@FrankLuntz deleting emails, lying, more of the same &amp; Trump calling her out for supporting partial birth abortion'",F,F
"b"".@DebbieB25684189 you may be a 60 year-old broad but that doesn't mean that you aren't reprehensible for promoting abortion...""",F,F
b'#abortion services las vegas e commerce open source',F,F
"b'@BillyHallowell A society that condones abortion, but berates ppl about the not driving a prius, has their priorities mixed up!'",F,F
b'RT @TrumpNewsz: VIDEO : Whoopi Goldberg Compares Celebrating Christmas to Getting an Abortion https://t.co/BjUx8CN4UQ https://t.co/qOZw6rkC\xe2\x80\xa6',T,T
b'RT @peddoc63: Have you noticed that everyone who supports abortion has already been born\xf0\x9f\xa4\x94Who said that? https://t.co/rxdgcBPPAz',T,T
b'The 9 countries with the most draconian abortion laws in the world https://t.co/E9UpmfChVE via @BI_Science',F,F
"b'@GaltsGirl The left: ""We should be more like Europe on abortion!""\nMe: They ban it after what, 12 weeks?\nThe left: ""Misogynist!""'",F,F
"b""@5740adams huh? U have a religious motivation for anti-abortion. Lol sorry but that's like the sad core of ur bs""",F,F
"b""RT @joshjoshbbb: So many people  today love to rail against... politicians and talk\nabout homosexuals or abortion so their sin doesn't seem\xe2\x80\xa6""",T,T
b'RT @speechboy71: For @GlobeOpinion: the unimaginable cruelty of 20 week abortion bans https://t.co/AEGRocDVWp',T,T
"b'""Draconian"" means a law having severe penalties for minor offenses. Inappropriate to use it for abortion restrictio\xe2\x80\xa6 https://t.co/WrmVr1eZKS'",F,F
b'RT @Trmpwin: #Hogwash #1Killer #USA #Abortion #PP #75Share 50X Cancer+ Heart #Combined #WHMcDog #Obama #2Idiots #Or #Liars? https://t.co/mQ\xe2\x80\xa6',T,T
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
b'RT @WeAreWomanUS: The Lawyer Who Argued Roe v. Wade on What It Was Like When Abortion Was Illegal #RESISTandORGANIZE https://t.co/1dXMTigM5\xe2\x80\xa6',T,T
"b""RT @myhairisblue: Help support the @ReproRights, which is suing Texas to stop the state's unconstitutional restrictions on abortion: https:\xe2\x80\xa6""",T,T
"b""RT @ArkhamRealty: @AceofSpadesHQ If G. Stephanopoulos and his wife have calmed their 14 yr old down from her abortion hysteria I'd like to\xe2\x80\xa6""",T,T
b'Carmel High School questioned over anti-abortion poster https://t.co/A2zhLrfzkV',F,F
"b""RT @indystar: What happened after Carmel High School admins took down an anti-abortion club's poster: https://t.co/BxtfpWMfSk https://t.co/\xe2\x80\xa6""",T,T
b'RT @peddoc63: Have you noticed that everyone who supports abortion has already been born\xf0\x9f\xa4\x94Who said that? https://t.co/rxdgcBPPAz',T,T
"b'RT @myhairisblue: First up is @NYAAF, which offers financial assistance directly to those who cannot afford to pay for an abortion: https:/\xe2\x80\xa6'",T,T
"b'RT @womensmediacntr: Kasich Vetoes Six-Week Abortion Ban, Signs \xe2\x80\x98Equally Dangerous\xe2\x80\x99 20-Week Ban https://t.co/kCRWfD2CSt via @Rewire_News ht\xe2\x80\xa6'",T,T
b'RT @nachosarah: hey men trying to ban abortion since you liked how life was 50 yrs ago so much can we all dress up as your dad and beat the\xe2\x80\xa6',T,T
b'Someone so successful can be so stupid. https://t.co/5LJ8XFRqCv',F,F
b'when can i have sex after abortion https://t.co/UxLO4kTTFs',F,F
b'RT @LifeNewsToo: Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned Parenthood https://t.co/QNdIFqhMe4 https:\xe2\x80\xa6',T,T
"b""@6377d6912eee445 @peddoc63 @DebbieB25684189 to get pregnant. Abortion isn't birth control. Birth control is birth control...""",F,F
b'RT @PPTXVotes: U.S. judge halts Texas rules on fetal tissue disposal rules: plaintiff https://t.co/39njEN5YCY',T,T
"b""@PrisonPlanet one person who is a traitor to the American People, if he/she was voting on abortion I'm sure they would  kill for that!""",F,F
b'Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned Parenthood https://t.co/MVbQZDsATS https://t.co/7RGFFXDksU',F,F
b'RT @ruthbrarian: Developing a working theory of how the gnostic bent in American Evangelicals extends to abortion and pre-Trib rapture. Not\xe2\x80\xa6',T,T
b'Michigan House Bans Abortion Clinics From Selling the Body Parts of Unborn Babies https://t.co/ifd3fLgiQ5 #DefundPP\xe2\x80\xa6 https://t.co/PUlGftiJV7',F,F
"b""@AWorldOutOfMind Threats at abortion clinics rise since Trump's election, advocates 'facing fight of their lives' https://t.co/Tq7JHSz5pt""",F,F
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
"b'Abortion Increases Risk of Women\xe2\x80\x99s Mental Health Problems, Most Studies Find https://t.co/MYBqZYSj61 https://t.co/Fuh4pezegT'",F,F
b'Every woman I know who had an aborton felt like they killed their child. I can only imagine how crippling that guil\xe2\x80\xa6 https://t.co/whDncGCizX',F,F
b'RT @TheDailyShow: John Kasich makes a compromise on abortion restrictions in Ohio. @michelleisawolf reports: https://t.co/XYaWrFbfKG https:\xe2\x80\xa6',T,T
b'RT @polisciman75: Whoopi Goldberg should have been aborted. Said right to celebrate Christmas is like right to abortion - Fox News.  https:\xe2\x80\xa6',T,T
"b""That's a relief. Definitely negative impact on unborn child though\nAbortion Doesn\xe2\x80\x99t Neg Affect Women\xe2\x80\x99s Mental Health https://t.co/lOArrIEFCr""",F,F
b'Abortion foes await next Congress to score series of victories - Washington Times https://t.co/cPqapxgtV5',F,F
b'Abortion foes await next Congress to score series of victories - Washington Times https://t.co/qdkuuRlYKv',F,F
"b""#Ohio Gov. John Kasich signs 20-week #abortion ban into law, vetoes 'heartbeat' measure. https://t.co/Pdz6QiayCM https://t.co/frvLt3sEzg""",F,F
"b'When abortion was illegal: untold stories (1992) (My grandma was state police 1944-64, saw too much, LOVED @PPact)\n\nhttps://t.co/nn6P0yU8vs'",F,F
"b'No one promotes abortion, although u really should not breed. https://t.co/jRsrwucc59'",F,F
"b""RT @tbrookes954: Two peas in a pod. Planned Parenthood has taken more innocent lives than Nazi Germany. It's time to end the abortio\xe2\x80\xa6 """,T,T
b'LifeNewsHQ : Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Plan\xe2\x80\xa6 https://t.co/GxABjowoWt) https://t.co/IoHUHPqvgo',F,F
"b""RT @joshjoshbbb: So many people  today love to rail against... politicians and talk\nabout homosexuals or abortion so their sin doesn't seem\xe2\x80\xa6""",T,T
"b""RT @WanagiKangee: @AWorldOutOfMind Threats at abortion clinics rise since Trump's election, advocates 'facing fight of their lives' https:/\xe2\x80\xa6""",T,T
b'RT @LifeNewsHQ: Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned Parenthood https://t.co/MVbQZDsATS https:/\xe2\x80\xa6',T,T
b'Seriously! What is wrong with this woman? \nhttps://t.co/4toam8bHVZ',F,F
"b""RT @ACLU: New study shows abortion doesn't make women depressed\xe2\x80\x94the lack of access does https://t.co/xYytU7IRiF via @MotherJones""",T,T
"b""I wouldn't say mandatory, but I do think abortion clinics should be open to the public. I don't think tax money sho\xe2\x80\xa6 https://t.co/jm7SsVoAz9""",F,F
b'This is another hag that is washed upped and go to hell https://t.co/G63UhZF8vn',F,F
"b""@coratagge @peddoc63 @DebbieB25684189 There's no scientific study that says abortion is healthy for women....""",F,F
b'RT @StevenErtelt: Michigan House Bans Abortion Clinics From Selling the Body Parts of Unborn Babies https://t.co/ifd3fLgiQ5 #DefundPP\xe2\x80\xa6 ',T,T
b'RT @GaltsGirl: The Left Is Losing Their Minds Over A 20-Week Abortion Ban -- Here Is What A Baby Looks Like at 20 Weeks https://t.co/wvRIof\xe2\x80\xa6',T,T
b'RT @StevenErtelt: Michigan House Bans Abortion Clinics From Selling the Body Parts of Unborn Babies https://t.co/ifd3fLgiQ5 #DefundPP\xe2\x80\xa6 ',T,T
"b'RT @StevenErtelt: Abortion Increases Risk of Women\xe2\x80\x99s Mental Health Problems, Most Studies Find https://t.co/lo5X9JcxKe https://t.co/DaYgWRn\xe2\x80\xa6'",T,T
b'@AWorldOutOfMind https://t.co/9hzwdyMnof',F,F
"b""RT @ACLU: New study shows abortion doesn't make women depressed\xe2\x80\x94the lack of access does https://t.co/xYytU7IRiF via @MotherJones""",T,T
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
"b""OKLAHOMA: we're putting anti-abortion signs in every bathroom!\nCALIFORNIA: literally there's weed in our cocktails\xe2\x80\xa6 https://t.co/pOsgtFqoMc""",F,F
b'RT @bwtanker: Abortion Biz CEO Cecile Richards Thanks Obama for Forcing States to Fund Planned Parenthood https://t.co/X93w2Nt1QG',T,T
"b""Gross! \nHe's against BABIES BEING ABORTED!\nGod, what a Monster! \nKILLING BABIES IS COMPASSION TO THE N'TH DEGREE! https://t.co/yFNqJpOQjx""",T,T
"b'RT @greggilbert: What will the new fact-checking @facebook do with an article titled, ""Abortion ends the life of a human being""?  I\'ll give\xe2\x80\xa6'",T,T
b'Whoopi Goldberg: Celebrating Christmas Same as Right to Abortion https://t.co/H25SBTf88g via @BreitbartNews',F,F
"b""RT @Rewire_News: Getting an abortion in Texas? Take the state's required package of misinformation with a huge grain of salt.\xe2\x80\xa6 """,T,T
"b""HUMANITY AT IT'S WORSE:  https://t.co/14HzY42eKt #BABY""",F,F
"b""RT @ACLU: New study shows abortion doesn't make women depressed\xe2\x80\x94the lack of access does https://t.co/xYytU7IRiF via @MotherJones""",T,T
